sample,time_seconds,player,side,position,champion,cs,gold,xp
LCK-g2,900,player-keria,RED,SUPPORT,neeko,0,3086,4514
LCK-g2,1200,player-kiin,BLUE,TOP,gnar,158,7810,8282
LCK-g2,1200,player-canyon,BLUE,JUNGLE,maokai,128,6520,6086
LCK-g2,1200,player-chovy,BLUE,MID,annie,157,6860,7553
LCK-g2,1200,player-ruler,BLUE,ADC,kalista,181,8080,6910
LCK-g2,1200,player-duro,BLUE,SUPPORT,nautilus,0,4556,5360
LCK-g2,1200,player-doran,RED,TOP,jayce,142,5680,7857
LCK-g2,1200,player-oner,RED,JUNGLE,morgana,128,5520,5760
LCK-g2,1200,player-faker,RED,MID,lux,161,6300,7880
LCK-g2,1200,player-peyz,RED,ADC,jhin,166,6330,5992
LCK-g2,1200,player-keria,RED,SUPPORT,neeko,0,3956,5802
